State,Category,Sub - Category / Type of Asset,Date of Auction,Bid Submission Last Date,Reserve Price,City
Maharashtra,Residential,Residential House,25-04-2026,24-04-2026,"₹ 30,00,000",Mumbai
Gujarat,Commercial,Commercial Plot,24-02-2026,23-02-2026,"₹ 3,00,00,000",Ahmedabad
Maharashtra,Residential,Residential Apartment,03-02-2026,02-02-2026,"₹ 19,00,000",Nallasopara (East)
Maharashtra,Residential,Residential House,05-03-2026,04-03-2026,"₹ 51,00,000",Sindhudurg (Kankavali)
Maharashtra,Residential,Residential Apartment,17-02-2026,16-02-2026,"₹ 3,06,00,000",Mumbai
Madhya Pradesh,Residential,Residential House,12-02-2026,11-02-2026,"₹ 12,70,000",Indore
Madhya Pradesh,Residential,Residential Plot,02-03-2026,02-03-2026,"₹ 14,20,000",Indore
Uttar Pradesh,Residential,Residential Flat,16-02-2026,16-02-2026,"₹ 16,00,000",Ghaziabad
Uttar Pradesh,Residential,Residential Flat,28-01-2026,28-01-2026,"₹ 30,70,000",Greater Noida
Tamil Nadu,Residential,Residential Apartment,30-01-2026,30-01-2026,"₹ 6,08,000",Kancheepuram
Uttar Pradesh,Residential,Residential Flat,16-02-2026,16-02-2026,"₹ 1,52,00,000",Meerut
Gujarat,Commercial,Commercial Shop,16-02-2026,16-02-2026,"₹ 20,10,000",Surat
Gujarat,Commercial,Commercial Shop,16-02-2026,16-02-2026,"₹ 20,10,000",Surat
Tamil Nadu,Commercial,Commercial Land,20-02-2026,20-02-2026,"₹ 12,00,00,000",Nagapattinam
Tamil Nadu,Commercial,Commercial Land,20-02-2026,20-02-2026,"₹ 7,00,00,000",Villupuram
Maharashtra,Residential,Residential Apartment,16-02-2026,16-02-2026,"₹ 25,00,000",As per notice
Maharashtra,Residential,Residential Apartment,21-01-2026,20-01-2026,"₹ 14,58,000",Pune
Maharashtra,Residential,Residential Flat,27-02-2026,26-02-2026,"₹ 11,45,000",Sindhudurg
Rajasthan,Residential,Residential Flat,24-02-2026,23-02-2026,"₹ 3,02,700",Bandikui (Dausa)
Gujarat,Residential,Residential Apartment,24-02-2026,23-02-2026,"₹ 12,25,120",Surat
Haryana,Commercial,Commercial Land,17-03-2026,16-02-2026,"₹ 12,00,00,000",Jhajjar
Maharashtra,Residential,Residential Apartment,24-02-2026,23-02-2026,"₹ 14,94,000",Thane
Uttar Pradesh,Commercial,Commercial Land,27-02-2026,26-02-2026,"₹ 47,11,500",Kanpur Nagar
Gujarat,Commercial,Commercial Shop,16-02-2026,16-02-2026,"₹ 20,10,000",Surat
Karnataka,Residential,Residential Apartment,13-03-2026,12-03-2026,"₹ 1,22,00,000",Banglore
Gujarat,Residential,Residential Apartment,20-01-2026,19-01-2026,"₹ 7,00,000",Junagadh
Gujarat,Residential,Residential House,20-01-2026,19-01-2026,"₹ 5,00,000",Junagadh
Maharashtra,Residential,Residential Flat,13-01-2026,12-01-2026,"₹ 3,37,00,000",Mumbai
Maharashtra,Commercial,Commercial Office,12-01-2026,10-01-2026,"₹ 5,78,00,000",Mumbai
Punjab,Commercial,Land & Building,31-12-2025,31-12-2025,"₹ 3,00,00,000",Hoshiarpur
Maharashtra,Residential,Residential Flat,30-12-2025,30-12-2025,"₹ 18,00,000",Raigad
Gujrat,Commercial,Commercial Shop,30-12-2025,30-12-2025,"₹ 36,20,000",Surat
Tamil Nadu,Residential,Residential Flat,09-01-2026,08-01-2026,"₹ 9,16,46,054",Tirupur
Maharashtra,Residential,Residential Flat,30-12-2025,29-12-2025,"₹ 24,52,500",Pune
